Comentary,Feeling
Management can be better. Strict manager but willing to help.,0
"It was fun, could get very slow, but you had repeat offenders as far as customers and it was fun to meet new people.",1
They don’t really have no cons,0
"Good colleauge, good culture and fun.",1
Great people to work with and great sales.,1
"Don’t believe the hype, management does not care about their people.  They have created a false narrative about the company culture, it’s just for advertising",0
"Fun environment, good co-workers, good company mission",1
Mostly issues that any startup may face.,0
"good management, fast paced, good hours",1
Some people only tend to other if you’re at a higher position.,0
Mission and flexibility. Smart people,1
"As far as major ice cream companies go, Ben & Jerry's is top notch. Selling a really excellent product for a progressive (socially, environmentally) company is a little less soul-sucking than other food industry jobs. 1 free ice cream per shift.",1
not too many full time positions and managers have their favorites,0
Owner is a bully. Has everyone on eggshells. They don’t care about employees despite what they preach. See how low the company staff retention is!,0
"I have never known a company where favourites progress so much. The company ethos has changed so much, they want staff who tell them what they want to hear. Staff turnover is increasing and the company has lost it's way. Staff are forced into a Disney type system (You must use the word efficacious to every customer!! (it,s not the 1950's) and you aren' allowed to say a staff member has left-they have ""spread their wings""...honestly!! If you are in the little favourites group, you will get on quickly, so now a culture of young new managers who say all the right things (as dictated too by the company) progress, leaving the real talent behind, hence the massive increase in staff turnover. Such a shame that this company is heading back to a pre-LOreal time where it nearly went down due to bad management and telling itself how unique it was.",0
"Can be stressful upper management
Company is in a turnover time at the time of this review due to economy",0
Staff focused. Rewarding and a great team.,1
"Giving trips, workout room, free coffee, a so far so good new CEO (Jim).",1
"Lower pay, and team is overly aggressive even though we do not make commission.",0
the reorg sucks right now. the air of not knowing if our team is getting cut.,0
Good work life balance for employees,1
"Average pay, limited space to grow",0
no cons to note overall,0
There are no cons to mention,0
"Management , racism , Management bias , no opportunity to grow",0
"Business is full of fantastic like minded people, everyone is engaged, committed, positive... great culture with no barriers/hierarchy giving the place an awesome atmosphere

Creative freedom,

Growth company, great progression opportunities and work is fast paced

Cicerone training-actively encouraged to study and learn about beer, rewarded financially when passing each level

Great package, healthcare, beer allowance, group discounts, beer/merch discounts, profit share,",1
Healthy work environment Amazing workmates,1
"WFH, pay is good, flexible time",1
Some managers are sticklers about following the book.,0
"Excellent company culture, good perks, flexible as a casual",1
The only thing I would say is that I wish they had another location close by in Orwnge county that I could work for.,0
Good international experience - probably not as valuable post covid. The HR team was actually fantastic but the people who work there let the team down.,1
Workload quite much in daily,0
It would be nice to get paid more,0
Free beer and good staff,1
"They only hire part timers, and when you work part time, they have you right below full time hours so they don’t have to give you benefits. They allow racist members of staff to stay.",0
Good people and culture and many opps to profess,1
"Great office. Lots of genuinely dedicated, creative employees who believe in the company's stated purpose of bringing creative projects to life.",1
Free lunch; casual clothes allowed; decent pay; overall intelligent workforce,1
"Friendly staff, great for training and learning about beer.",1
"Remote working
Goals to improve education
Great communications about company goals
Free access to online courses",1
We sometimes lake direction but there is so much goodness,0
Unfriendly work environment for mothers and excepts bullying in the work place. If employees reach out to HR or upper management it gets overlooked or ignored. If you pursue assistance you will be fired and they will do it in the most unethical way.,0
"Some customers may be upset with the prices and rude. The job may get boring at times when there is nothing to do or no customers,",0
"High targets, usually unachievable. Managers ignore that and sometimes stick to the message coming from the top. 
Managers wangle their job because they meet the right person, so not many career opportunities.",0
So fast paced it can be hard to focus on the detail of a task.,0
"- raises often
- lots of hours",1
Good good good good good,1
Very relaxed environment to work,1
Great mission. Great work life balance.,1
Easy work with good pay,1
Was sometimes stressful especially during summer holidays,0
"- Coursera has huge direct impact on people lives especially with this new focus on online Degrees
- Business is growing year on year nicely
- Company is more focused than ever under new CEO's direction and he is more focused than ever",1
"1. Lack of vision / strategic focus. 
2. At times, poor leadership &  lack of accountability throughout the organization.",0
"- many projects - location not the best (just imo, I know my creative mind would be working at its full potential if I were on the coast or somwhere with better views) - 20-25 min commute from Columbus (not horrible, but could be better)",0
Hourly wage for hospitality workers not exceptional.,0
Great work environment and great benefits,1
"Part-time 
late hours 6-10 pm
Not much mentoring",0
Working hours are too free so there is no definite target,0
The staff was really great and patient with teaching you how to operate everything. I enjoyed working there and discounts on ice cream can never go wrong.,1
It can be flexible with other commitments,1
Pay was ok but did lack benefits,0
Hard to get personal further development,0
Meeting cool coworkers and discount,1
"Rigid culture, Greenwashing, Staff are unclear about AUS owned/manufactured dialogue.",0
- lower pay in comparison to other companies in the same sector. - low annual increases. - Growth comes to a screeching holt once you his the Store manager level.,0
Constantly mindul of culutre and EX,1
"Great environment, you meet a lot of people, it's FUN. You get a Cicerone certificate",1
"None so far, just great company.",0
"Work life Balance, environment, team",1
"Ice cream, nice team and happy people come here to eat",1
The manager is like a robot and unless you kiss her arse you get fired as soon as you start. They aren't even professional enough to tell you in person what the non existent issue is. But if you love kissing arse and white you'll most likely do great!,1
Manager was not the best,0
Kickstarter recently announced we're going fully virtual (work from home or anywhere) & that we'll be trialing a 4-day workweek in 2022. I've never worked anywhere more committed to providing me with the flexibility I need to live my life and pursue the things I care about outside of work.,1
Good work life balance at the firm,1
Good culture lovely people fun,1
"The fact that we're still small and still building processes makes it so that you feel you're NOT empowered to be creative, solution focused,  or introduce new cool ideas for doing things. And even when you are empowered, you then don't have the autonomy to do so because everything has to signed-off on by the senior team...even for the smallest of things. While we think we are and want to be nimble, we're not because you don't have much autonomy to drive forward with things without the very top approving.",0
Great environment with emphasis on mental well-being. Extremely generous.,1
"Fast paced environment typical of startups, there is always more that we want to do than time to do it. Some turnover recently but likely for the best as some of the more tenured employees are not embracing much needed change.",0
"EdX leadership does not always appear to fully support the execution of the organization's vision. We say we focus on our learners and members, but make decisions which either do not consider them or actively harm them. Our values, which are fully supported by the employees, are not always embodied by leadership.
EdX also supports a culture of overwork, praising employees more for their availability at all hours of the day and night (and weekend) as much or more than for their quality of work and dedication.",0
"Fun working environment
Living wage 
Lots of things to learn and room to grow",1
"Many of the people are great to work with. Until the layoffs, morale was great.",1
Took a few months to fix an admin error. Still on going.,0
Pay on lower end and little chance for advancement,0
Flexible Hours Relax Work enviroment,1
"So if you've read through all the pros, you must be think to yourself, ""Wow, how can this person only give 2 stars? Are the downsides really that bad?"" That's for you to decide.

People - I know I just sang praises about all the amazing colleagues, and while that's true, there's also a fair share of either incompetent, apathetic, ""I'm here to collect a paycheck,"" or any combination of these horrible characteristics that dilutes those that are trying to improve TOMS. Sure, I get there will always be entry to mid-level peeps that just don't care or know about contributing to the company to realize its full potential. But when you have this kind of riff-raff in the upper ranks like VPs and execs...set sail for fail. That's not to say there aren't any good leaders in management - of course there are. But all it takes are a few bad apples in key positions, making hasty or bad decisions because they don't know what's actually going on at the ground level and with a company of our relatively small size it's pretty easy to get up to speed on the details. The fact that these apathetic/incompetent leaders don't know who to tap into at TOMS to get the accurate data or info - that's a reflection of how out of touch they are with their teams or the goals of the company. Some of these ""coasters"" have since been ousted, but rest assured a good amount remain in the upper ranks.

Onto a related topic...the current state of the company. I don't know what I'm allowed to disclose, so I'll play it safe and keep it general - we've made several bad decisions in the past few years since the brand exploded; decisions that have wasted unfathomable amounts of resources - time, money, and effort. Decisions that have cost the company and are still haunting us to this day. Decisions that have forced the entire organization to lose focus and always be in constant state of chaos. Decisions that have led to missed opportunities to continue growing the brand. Just...bad decisions. And the worst thing? Besides the fact that it's self-inflicted, it is never ending - there's a difference between fast-paced (recruiter buzzword) and chaotic (reality at TOMS). What I mean by that: most of the major projects we work on - there's little to no planning...want to know what happens when you don't carefully plan out a big, cross-functional project? I'll tell you - missed deadlines and budget constraints, frustration, gaps (""Oh I thought YOU were going to do it""), and in general a lot of finger pointing which ultimately leads to low morale. It's gotten to the point that pretty much all the executors in projects expect them to go sideways or lose steam before we even have the project kick-off, which is sad. Then it's just a vicious cycle because we need to work on the next project and because someone neglected to be accountable and plan out the milestones with realistic targets - again, it flies off the rails. Rinse and repeat. So what this long-winded paragraph boils down to is no accountability at TOMS. I'm all for giving people second chances but if someone is running a project or brokering a deal that if it goes badly, could represent a huge miss in sales or cost us a ton of money - someone needs to be held responsible and take a demotion, be put on a PIP, or something. But no - that's not very ""TOMSy"" so we let these key decision-makers continue to make the same mistakes over and over.

You know what else isn't TOMSy? Staying in your lane and not overlapping, duplicating someone else's efforts, or creating redundancy. The problem is because the TOMS way is to let people come into their own with little to no guidance from a seasoned mentor, there ends up being 5 people trying to achieve the same result and doing it in 5 different ways without even knowing there were other people working on the exact same thing. And then letting people do important tasks that need to be reviewed/monitored because they have little experience in this area - I've lost count how many times I've seen poor execution because nobody was communicating or providing mentorship or asking for help. So what other companies call ""exposure to a variety of disciplines"" TOMS just really need to stop offering this and clearly define roles, or figure out how to better allow people to try out new things under supervision to ensure some semblance of quality is delivered. Also, this used to not be as much of a problem as it is now but there are too many cooks in the kitchen i.e. we're still too top heavy as an organizational hierarchy; decisions that should be quickly made so we can adapt take too long, and it creates this weird dynamic where it has to propogate through multiple unnecessary decision-makers and/or people who are basically pass-through (they provide no input or don't make decisions) so it's literally like you are setting up a meeting to tell someone something just so they can relay exactly what you said to someone else. But the person you told will probably misinterpret and there's all these translation issues where you are playing that game with cups connected with a string and when you hear back what the last person thought the first person said - it ends up being completely different!

Then all the other cool, fun things we used to do as a company to maintain our culture and the friendly vibes - happy hours, annual trips...those are all gone. Bonuses are pretty terrible since they're tied to company performance, and merit increases are meager. Yes, these cost money and we're clearly not in the same position we were in 5 years ago but in the interest of disclosure to candidates - aside from the business model, there are no real perks and we're beginning to just feel like another company getting corporatized by private equity swooping in to set us up for a sale event.",0
Questionable if the business is sustainable,0
Lots of training every campaign and product launch,0
"- Explicit expectation of unpaid overtime.
- Blind understanding of work life balance from department leaders.
- Glacial career progression paired with non-existent formalised career development.
- Below average remuneration for large portion of staff.
- Gaping disconnect between Corporate and Retail workforce.
- No profit-sharing schemes or reward for stellar company growth.
- Chasing growth and profit without proper oversight and protection for overburdened staff.",0
very challenging time for the company as it has transformed from a non-profit to a hyper-focused for-profit with 2U acquiring edX in 2021-2022 and the acquisition - as most acquisitions go - has been very challenging. mass layoffs and tanking stock price value to an all-time low leaves very little room for needed psychological security as the business pivots. tough times all around.,0
Great people to work with,1
Learn a lot of interpersonal and hands-on skills,1
"Good products, Creative environment, Fair work practices taken seriously, Hard working leadership.",1
"Work/life balance will be terrible, since you will be contacted outside of your working hours and working weekends is a big part of this job. People who get hired are typically cultish around luxury brands, especially Aesop, so you will probably be surrounded by others who like the image but not the job. You will likely take on managerial duties which don't reflect your position, since allocating tasks seems to be a major issue here.",0
"free product
Nice store
nice parties",1
"Colleagues and managers are mostly all nice and supportive. There is not a lot of rules regarding your personal style while working which is great and if you are into beer its a good place to learn and get to meet people that love beer and personally meet breweries and taste new beer.
You will get beer for free and some discounts.",1
"stand a long time, and lunch break doesn't include the hour.stand a long time, and lunch break doesn't include the hour.",0
"Friendly, great environment, good employees",1
"Great technology team, empathy, great culture",1
"Discount
Great products really work
Company that cares about community and Thur customers",1
"Good relaxed atmosphere with lots of freebies and young, fun coworkers",1
"No store manager or supervisor, store owners are management and they are micromanagers, no paid time off,no benefits even with higher position, inconsistent schedule and hours, payroll is process late sometimes, written violations given out over small reasons, one of the owners creates a hostile and unwelcome work environment and has the tendency to target people.",0
"It is a struggle to move up in the company. You'll be stuck in a role for years and years. If you are looking to grow and advance your career, this might not be the place for you.",0
"Be patient, communication is evrything",0
"(Mostly) friendly colleagues from different backgrounds, including managers and team leaders. Since 2020 onwards, opportunity to WFH and from other locations (even abroad) as long as you're transparent about your hours and work. Opportunities to work on other projects and with other people so our main job doesn't get repetitive or unchallenging. Lots of flexibility.",1
"As the company is rapidly growing and changing, the leadership team hasn't done its due diligence to clearly define department objectives, company direction, or planning. Many employees feel like they are without leadership and guidance and work long hours without clear goals. 

Others are frustrated that their needs for career growth and opportunity are going unheard, and that managers lack the ability to empower and promote their employees.",0
"Free beer, a lot of great people",1
"lack of direction from bosses
there is a lot of attitudes and a lot of people just dont even care about doing their jobs the right way or about respecting eachother
a lot of employees are not happy working there for the most part",0
"Leadership and upper management delusional and easily manipulated to follow ethically grey instructions. Then spread this throughout the business. 

Training used to make people feel that they owe the company their loyalty for very little reward. 

Extra bonuses like the unicorn fund is put forth as an empowering scheme but often is abused and brings out the greedy nature of staff, more often than not the managers.
As a result working for this business becomes nasty very quickly. You'll find that people will sabotage each other to get ahead. This is a direct result of being promised promotions and opportunities at entry level and then finding out it also comes with a lot of hard work. there are many too impatient to do the work to get the promotions. When achieved the salary is less than competitive.",0
"Inconsistent shift patterns, target customers can be unpleasant",0
Coursera has cultivated an excellent culture and focusses heavily on employee satisfaction and growth.,1
Sampling free ice cream was always nice. Meeting new people. Learning how to make their products.,1
Completely disorganized from the top. Would cut staff then complain that staff was overworked. Scheduling always a mess.,0
Makes it really hard to leave,0
The counter was in a Belk department store. Their cosmetics department manager was a real witch.,0
"Healthy insurance
Vacation
Quality of the product although losing that quickly",1
The mission and vision is clear and there are great people who make it happen.,1
hard to move up from where you are,0
- Good learning curve - Opportunities for internal mobility,1
"My god where do i start? If you are the type of person that just clocks in and out then you wont mind the place. But if you try and actually make the business work and take care of it, you will be stiffed by management",0
"Extensive training, product knowledge, support from peers,",1
Part time only available in this role,0
"The pay, career progression opportunities, the culture is not as it seems from the outside",0
A lack of realistic expectations from management and poor strategy hinders execution.,0
"We are a 5 year old startup and we have multiple ""startups within a startup"" – as such we are learning as we go and it's not a smooth ride. Anyone who wants structure, consistency and predictability in their daily jobs may have a tough time here. 

If you don't feel SUPER EXCITED about the Coursera mission, don't bother applying – this isn't really a con per se but is important for potential applicants to understand.

Part of being inclusive is valuing all functions equally. Often functions in companies have a clear hierarchy (e.g. at Google it's engineering über alles). At Coursera, There is no clear hierarchy which can make the strategic decision-making process messier. I personally love the fact that ""everyone's voice counts,"" but some people may be frustrated by the duel-edged sword nature of an evenly balanced power structure.",0
Positive work environment Perfect place to learn customer service Flexible times,1
"they dont care about part time employers!
loreal doesnt care about people of color
they favoritize people
unless you plan to be here temporary dont be here at all, i feel relieved that i am gone
they even keep people who have multiple hr complaints against them and even promote those people",0
Strong pay and benefits. Strong leadership. Great culture.,1
"sexism, discrimination, patronise, male chauvinism and indifference.",0
"No set work times, often understaffed",0
"- Non-profit organization with mission that employees really believe in (although this might be changing - see cons)
- It's easy to believe in the power of the product
- Talented, friendly coworkers
- Great MIT benefits
- Convenient Kendall Square location
- Free lunch every day",1
Salary is not competitive enough,0
"low perspectives on career, low pay in retail, slow decision making, sometimes illogical work style",0
"Can get busy, Lots of cleaning,",0
People I worked with here all genuine and everyone got on with each other,1
Employee compensation could be better as well as hours available. The job seems more suited for young college students which eludes to a lack of future with the company.,0
Took me a few months to get an offer but it may be due to unforeseen COVID situation.,0
Remote work Flexibility Autonomy Great pay,1
"Nice environment, good employee discount",1
"- Work Colleagues are friendly and nice (not all)
- Certain days they will have Aesop team gatherings outside of working hours to go out and have fun (have dinner or go bar which is all paid for) 
- After some time you’ll get employee benefits. Get discount on Aesop products and also you’ll get given a choice to choose which Aesop products you like and get it gifted to you for free.
- 1 hour paid break",1
"Creative, constantly evolving, dynamic company with lots of new stores and counters opening, and lots of new product launches. Feels like the company is improving at a fast speed within a competitive market. Good diverse mix of people employed.",1
"the benefits are insanely great, the people are the best, and the work life balance are damn near perfect.",1
"Upper management is stretched thin, too many stores in each district.",0
things are just fine here at this establishement,1
Boring and not much day-to-day variety,0
Too much theft Too many paper trails POS is horrible,0
"Fun, easy work, laid back",1
"Underpaid and asked to do a world of things. No respect and micromanaged by head office.
Told you will make goals to get like 100 dollars extra a month (you are selling over 100,000 worth of product) but goals are so unattainable.",0
"The most toxic work environment of all time. No pay; ever. Nepotism, favoritism, racist, lying greedy awful scum. Retaliation at an unheard of level. No regard for worker health and safety or wellbeing. Severely underpaid and the better employee you are the more you will be punished. Everything the company says is a lie.",0
Constant scooping during warmer months with some employees scooping 1000 dollars during a single shift. Due to the heavy traffic and constant service it becomes a high stress job,0
"Nice people to work with overall, and if you’re in a lower volume store it’s not too stressful. You learn a lot, and the pay is decent.",1
Good ice cream. Fun coworkers,1
"I feel so fortunate to have been a Coursera employee for over 3 years. The things that drew me to Coursera remain consistent: We get to work on one of the most important missions in the world, to transform lives through educational access, with some of the smartest and most caring people I've ever worked with. Since our new CEO Jeff joined, what has changed for the positive has been clarity of our business strategy with a strategy that is driving tremendous business growth with huge future potential and a strong and unified leadership team who is working together to set direction and vision for the company. 

Ultimately I come to work everyday because I believe we are building a path so that anyone, anywhere, no matter where they start can build a path to wherever they want to go and whoever they want to be which is incredibly powerful. We see learners first hand all the time for whom this is reality and this inspires me and excites me about all that is in our future. 

We also get to do it with a team who is incredibly committed, collaborative, and talented which creates a much better culture and environment than I've ever been part of in my professional career. 

Finally, our business is doing extremely well which means we are continuing to grow our impact and continuing to invest into the business which creates opportunities for internal mobility and career development. I've seen countless examples of people who have learned and grown into new roles within the company and advance their careers.",1
Innovative and attracts fun people,1
"Acquisition from 2U, layoffs, no-longer mission oriented",0
"Beer allowance, team mates, manager",1
"Solid team structure
Friendly staff
Decent hourly wage",1
I really don’t know right now,0
"Long hours, work life balance.",0
"free and discounted product, clean and nice smelling working environment. cool coworkers",1
"- Brewdog genuinely cares about its people (and its Beer!)
- Amazing work environment
- Great atmosphere among staff
- Learning support available
- Unicorn fund
- Discounts on awesome beer and merch",1
Slow growth for ambitious talents,0
Awful management only progression is for friends who are not experienced,0
good engineering manager and perks,1
"Slow decision-making. Also, the time difference between different countries is a challenge.",0
"Sales could be a little stressful, managers expect a certain amount of sales everyday and you don't get commission. Plus others could steal your sales",0
overworked the hourly pay base,0
"The company is basically a circus. People scrambling to get shipment, make KPIs, etc.",0
"Can’t think of any, love the company",0
"poor renumeration, little organisation within management, few growth opportunities. upper management don't really care about issues that arise. great working culture for melbourne based employees however sadly this did not seem to translate to my country.",0
"Great place for growth. Company not disrupting now like crazy but business growing steadily and with degrees coming in, company seems to be doing better business wise. People are fun, brilliant and driven. Lunch and dinner catered every day and it's not bad. Ping pong and pool are lots of fun!",1
There is so much going on that sometimes the communication isn't as good as it could be.,0
-Slightly underpaid. -Management and higher ups where genuinely unreasonable.,0
"Brewdog expects fast and well executed results. A con of sorts, but only if you can't keep up with the tide. This is the only way to be though, if being the best you possibly can be, as a people and as a business is your goal.",0
Smart and genuine coworkers who all want to make an impact on the product and expanding access to education,1
Good discount. Products are small and manageable. Decor is nice.,1
"Chill environment 
Good pay 
Not too hard",1
"Comfortable, fun, proactive, enoyable, and refreshing.",1
"No potential for upward mobility, incompetent management, extreme turnover in employees and managers",0
"- benefits
-pay
- gratitus
- discounts 
- great managers",1
If someone wants to tip YOU in cash you have to split it with everyone else,0
"Plenty of opportunities for free goods
High base pay (L'Oreal companies all have a minimum of 15.50/hour)
Low manual labor",1
"Hard to work up in some stores, either you have great management or horrible. if you are not full time during non peak season expect to be on call hoping and praying for hours.",1
Evening shift sucks... you have to stay 1-2 extra hours to deep clean the whole shop depending on day of the week/how busy it was that day. Some times we would have to stay until 1 am in the summertime,0
"If you are at a high volume store it can be physically demanding and draining to interact with so many people. As a scooper, there is a lot more to the job than serving ice cream.",0
Much of the top talent has move on from the company to other opportunities. The departure of institutional will negatively impact the progress of the company.,0
"good salary, teamwork and on the market more than 170 years",1
"You have to stand all-day
Consistently work long hours weekdays and weekends even for part-time workers it ends up feeling like full time
You're basically stuck at minimum wage don't expect a raise
No free ice cream, just an okay discount.
Sundays are extremely stressful and you never get them off or get paid extra for working 
Only allowed one 30m break per day",0
"High level of focus on company culture which is ultimately undermined by upper management, low pay for work done.",0
"Decent employee benifits, they do look after their people",1
Management and coworkers are catty and cliquey,0
Working environment is good. Teams are helpful.,1
Good place to work for,1
Cool product and industry to work in,1
too delicious cant eat it all,0
"Very lengthy recruitment process for a retail position. 

Head office, and most other stores are a bit too pretentious. It's odd how they care so much about the language you use and clothing you wear as they stress the importance of ""natural, organic interactions"" but when everything is sort of scripted it becomes the opposite??

Could do better in regards to sustainability, ethical supply chain and accessibility (e.g. Paddington store in Sydney has a step making it difficult for customers in wheelchairs to enter the space).

Not really a con, but I think that Aesop's overall air of pretension can be a bit off-putting to customers who seem almost afraid to come into the store sometimes.",0
"Recent company changes
Layoffs
Pay / no benefits",0
"Encouraged employees to offer feedback to improve workplace but little change occurred. Poor bonus structure. Internal growth was possible but long, drawn-out process.",0
"You don't get raises on merit, lots of AI layoffs happening",0
"Great team, boss, and beer",1
"flexible hours, free ice cream, friendly environment",1
Product discount Thoughtfully curated environment,1
"I've been at Coursera over a year and can honestly say, hands down, this is the best place I have ever worked. The opportunities are growth are endless, as long as you're willing to push for them. You really need to proactive and hustle to succeed here, but it's worth it. Looking back, I'm proud of how much I've grown since I've been at Coursera. I don't think that would be the case at a larger company.

Other pros:
- Smart, dedicated colleagues who genuinely care about people and education
- Ownership. This is huge. I've always felt my managers went above and beyond to make sure I felt ownership of my work and recognized my impact. 
- Flexible work hours & work from home Wednesdays 
- Unlimited vacation people actually take regularly (huge thumbs up to this)
- Lunch, dinner, snacks. Healthcare. The usual valley perks. 
- ***There is a huge ability to make an impact, not only at a personal growth level, not only at a company level, and most importantly, at a global level. I can't think of any other company that has the opportunity to do good for others like Coursera.***",1
"Remote work is here to stay
Mission is awesome
Challenging but rewarding",1
Remote is the only thing that comes to mind,1
"The leadership is absolutely awful.  I've never seen such a poorly run company.  The whole place is complete and utter chaos.  Managers seem incapable of making even the most basic of decisions and have no idea how to manage people and engage their teams and make them feel valued. 
Basic processes are not in place because it's not ""cool"".
Don't even think about career development because it's non existent.  They would much rather hire someone external than develop the people that are there already.
The People team are a total waste of space, they would much rather paint unicorns than help you if you've got an issue.  I also found them to be the most unapproachable team in the whole company and tried to avoid any contact with them.
The safety culture in the business is disgusting.  There is PPE available yet some people choose not to use it putting themselves and others at risk, management do not seem to want to do anything about fixing this.
Overall, the culture is the worst I have ever seen.  People are overstretched, overworked and undervalued.",0
"slow, can be mundane",0
None. I love everything about my job,0
Understaffed and they don't care about employees,0
You work with amazing colleagues,1
job is good not hard,1
Still finding its place in the market and not immune from the challenges tech companies are currently facing,0
"good working environment, very clean and tidy.",1
Compensation and travel requirements. Limited opportunity for advancement when working remotely. Tends to promote from outside the organization,0
There really aren't any besides the discount and working with the amazing clients. The products themselves are good too.,1
Since it is a small franchise you can not really more up to a higher position and if you do pay isn't as large for the same reason.,0
"Flexible 
Nice Management
Cool People
Free Ice Cream!",1
"Nice office, awesome campaigns coming through on a daily basis, feeling like your job is making a difference on an international level.",1
The discount is great but that’s it,1
"sometimes disorganized, would have to push upselling",0
Pay is below industry average,0
Free beer after a shift,1
Sometimes the pace and rapid changes can be alittle scary...  That said - if you reach out to the right people there is always help at hand!,0
Very good first job experience,1
Great team who work here from beginning to end. Always employ good people who help create the positive atmosphere and a drama free workplace,1
Ice cream season tends to be long but super fun.,1
- Poor compensation - Poor mentorship - Poor upward mobility,0
I got lucky 'cause there wasn't any cons that was worth mentioning.,0
They just pay you basic pay. No increase sallary. Not direct HR they have other company arranges their employees.,0
No comments at all let all,0
The lower level management are fantastic and the staff are enjoyable to work with.,1
"Nice team, relaxed environment, considerate bosses.",1
There are no cons with working for Aesop!,0
Free food and drinjs and you can take what you want and customers are usually nice for ice cream,1
"Frequent mixed signals from corporate design heads throughout design development process resulting in a lot of frustration and wasted time, which can be expected but does burn out good employees. Challenging budgets for the ambitious level of design expected.",0
"Nothing to be told, perfect",0
"hours, pay, stress, management, hours",0
Flexibility when it comes to schedule,1
"Nothing to declare. Ok, maybe some small stock issues (missing some products).",0
No cons come to mind,0
"- Working on a product people love
- Talented team
- Scope to work on amazing projects
- Modern offices
- Bars are great locales",1
Lots of work as to be done.,0
Communication isn’t always best at times.,0
Get free products. Managers have to take an interest in your future.,1
Occasional company-sponsored  cultural gatherings with colleagues,1
"Fun job, easy training, meeting cool people!",1
"Great community, good benefits, lots of ability to grow in the company, competitive pay for retail.",1
"Coursera fosters a great community. I have worked on several design teams, and I’m incredibly impressed at the talent at this org. Design team has very high standards, which allows you to grow and develop new skills.",1
Overwork and unrealistic production schedules forced dangerous and time consuming errors. Production schedules increased anyway. No time or money allowed for exams and career development.,0
Unfortunate time to be in the industry but Brewdog have softened the blow significantly.,0
"Given lots of products, great staff, great stores",1
Nice working environment and friendly coworkers,1
-Ability to work with various industry professionals. -Great opportunity to learn more about software development -The ability to network and learn are the biggest reasons for working here,1
"BrewDog is making it their mission to become the best employer ever. No business is perfect and as we are still pretty young and growing at an insane speed, it's easy to run into unexpected problems. However, the people team are ace and constantly listening to feedback from teams. They have implemented many new benefits in the last 12 months, including free private healthcare, an unbelievable enhanced pension contribution, and equal end of year bonus for ALL employees. 

They have also recently launched a world-class staff and management training scheme that goes hand in hand with a learning and development fund for each employee. There are also great progression opportunities across the board; packaging teams are put through their apprenticeships, and there is a great bar management development programme too. Lots of people have moved up through the ranks from junior positions and have been given chances unheard of in other companies.",1
Good pay and bonuses good people,1
"For all its faults as a business, the team I work with at Brewdog has always been completely sound.",1
I wish for more complexity in the products and projects that are given. There tends to be a lack of industry-setting innovation.,0
"no commission, bonus scheme is based on the number of hours not on results",0
there are no cons with them,0
"Co-workers are not always the best to work with.  Many are irresponsible and shouldn't have their jobs.  Customers in my area are usually rude, disinterested or impatient and sometimes don't speak English.  Hours and schedule is unpredictable.",0
Not great place to work,0
"Never had any hours, didn’t get paid much.",0
"-Free product (too much of it to be honest, you'll always have a huge excess of product going out of date in your home, and friends and family will get bored of the same gifts over and over again)",1
"Lack of any attempt at becoming better employees, and more skilled individuals",0
Not for people who do not like working with kids,0
Low salary and very limited hours for associates. Management barely communicated and takes shifts away or shortens them without any notice.,0
everything looked nice in the very beggining,1
best work environment ever miss it,1
Good perks and flexible schedules,1
"Poor work/life balance
Incapable leadership
Disorganized
Poor communication within production as well as between departments",0
Low pay compared to others for managers,0
- Fun work environment - Big on company culture - No hardcore dress code - Flexible hours,1
"Lack of clear performance management and people development practices. There are plenty of opportunities for this, but it will vary based off who your manager is. This is probably due to how young the company is (e.g. still ironing out the details, and the fact that your next role in the company may not even exist yet).",0
Great exposure and opportunity to learn.,1
Overworked. Underpaid. Never off the clock,0
"monotonous work, made to deceive customers and not outwardly advertise prices or the kiddy size",0
"it's fine as far, so I couldn't list the cons. but it's hard to have really great career opportunities.",0
Leadership with strategic plans for growth,0
"Treated poorly by management, told to grin and bear it while being verbally abused by customers. Treated like a trouble maker if you try to raise issues about health and safety standards.",0
"Employees that have been with TOMS the longest seem somewhat uncertain about the changes being made. However, as someone who arrived during the transition and did not have those previous biases, I thought the changes being made were necessary and showed the company’s dedication to improvement. As I said before, I love the direction TOMS is moving in and I am very confident that they have the right people in place for the future",0
"Discounts on quality products that do work. Training educates you about the basics of skin and hair care. Company has a strong following of loyal costumers. Enjoy interacting with a diverse range of clients, including many foreigners who appreciate the products. Learner to take care of my skin and feel amazing :)",1
Lack of hours at times.,0
"It's a great company to work for, enjoyed my co-workers.",1
"Lack of focus, something is always changing, and it feels like new features and products are built in a rush.",0
Offers a great opportunity to keep tech content fresh in the head.,1
"Fun and comfortable workplace. The building is a newly renovated, open space warehouse with bunch of windows and two slides! It has modern décor, outdoor workspace and coffee bar.  It's not unusual for employees stop by the lobby and hang out for a bit during work . The employees are friendly, young and free spirited people from all around the country (or the world). Company throws happy hour every Fridays and company events 3 to 4 times per year. Everyone at TOMS works for the same purpose: growing the company and help more children in need.  Working at TOMS gives a polish image for ""working for a cause""",1
Everyone is welcoming and willing to teach,1
"Great coworkers, great wages for a part-time position",1
Working for one of the market leaders. Opportunities to progress within the company. Training is now a lot more structured.,1
not enough free ice cream,0
I don't have any cons from TOMS,0
"Pay per hour
Often end up working outside hours",0
"Unpaid lunch, not paid for overtime",0
Benefits and company culture are great. Lots of amenities.,1
Good work environment and decent tips,1
"Good monthly salary, considering it is a part-time job.",1
